date,potential_evapotranspiration,cloud_cover,precipitation,maximum_temperature,rain_days,minimum_temperature,vapour_pressure,ground_frost_frequency,diurnal_temperature_range,mean_temperature,soil_moisture,soil_mineral_fertilizers_nitrogen,soil_mineral_fertilizers_nitrogen_per_unit_area,soil_mineral_fertilizers_phosphorus,soil_mineral_fertilizers_phosphorus_per_unit_area,soil_mineral_fertilizers_potassium,soil_mineral_fertilizers_potassium_per_unit_area,soil_manure_applied_to_soils_nitrogen,soil_manure_applied_to_soils_nitrogen_per_unit_area,soil_manure_applied_to_soils_phosphorus,soil_manure_applied_to_soils_phosphorus_per_unit_area,soil_manure_applied_to_soils_potassium,soil_manure_applied_to_soils_potassium_per_unit_area,soil_atmospheric_deposition_nitrogen,soil_atmospheric_deposition_nitrogen_per_unit_area,soil_crop_removal_nitrogen,soil_crop_removal_nitrogen_per_unit_area,soil_crop_removal_phosphorus,soil_crop_removal_phosphorus_per_unit_area,soil_crop_removal_potassium,soil_crop_removal_potassium_per_unit_area,soil_biological_fixation_nitrogen,soil_biological_fixation_nitrogen_per_unit_area,soil_seed_nitrogen,soil_seed_nitrogen_per_unit_area,soil_seed_phosphorus,soil_seed_phosphorus_per_unit_area,soil_leaching_nitrogen,soil_leaching_nitrogen_per_unit_area,soil_volatilisation_nitrogen,soil_volatilisation_nitrogen_per_unit_area,satellite_NDVImean,satellite_NDVIstd,satellite_PETmean,satellite_PETstd,satellite_CHIRPSmean,satellite_CHIRPSstd,maize_ton_per_hectare,maize_comm_ton_per_hectare,maize_non_comm_ton_per_hectare,wheat_ton_per_hectare,groundnuts_ton_per_hectare,sunflowerseed_ton_per_hectare,sorghum_ton_per_hectare,soybeans_ton_per_hectare,barley_ton_per_hectare,canola_ton_per_hectare,oats_ton_per_hectare
1903-01-01,5.5,43.1,42.1,29.4,6.4,15.7,15.8,0.0,13.6,22.5,0.23139968812890677,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,0.556656208228445,0.28840531999634,0.37363792136057,0.38242107413722,64.7839864792366,26.7919063014368,,,,,,,,,,,
1903-02-01,4.9,44.2,42.2,28.7,6.4,15.7,16.1,0.0,13.0,22.2,0.22089304448039032,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,0.478159772781849,0.288054726936851,0.136244267153176,0.453047332323547,68.1706509128697,23.0196906899892,,,,,,,,,,,
1903-03-01,4.0,42.1,28.1,26.9,5.3,13.8,14.8,0.0,13.1,20.3,0.2123442030015349,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,0.383084568731087,0.282602509452467,0.0163818307879754,0.485593795383165,37.4869117880384,12.1589761496102,,,,,,,,,,,
1903-04-01,3.0,37.8,44.8,23.6,5.8,10.2,11.9,0.7,13.5,16.9,0.2981807103064067,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,0.263858868611355,0.293955205639105,-0.113982580746232,0.487445796878353,11.8204269870638,10.6474814519574,,,,,,,,,,,
1903-05-01,2.3,28.7,23.5,21.2,3.9,6.4,9.6,4.6,14.7,13.8,0.34153142787937507,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.176095721836,2.7987,1782.906154352205,0.1457000042606072,384.3861059879249,0.0314000004565468,14665.172240415246,1.1986000100110392,31540.368678541996,2.5779000356867847,0.0930061877476713,0.309908577550433,-0.0595731758588854,0.40475989437916,8.60943117295577,14.5063103634823,,,,,,,,,,,
1903-06-01,1.9,24.8,18.2,17.7,2.9,2.7,7.5,11.4,15.0,10.2,0.2688221477151763,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.17566464203,2.7987,1782.906133868055,0.145700002801095,384.3861042636919,0.0314000003581833,14665.171957675228,1.1985999886233178,31540.367791304256,2.5778999670823577,0.0022347848631508,0.329186283153789,-0.0305755085053276,0.466896663011648,8.56643953554127,12.4007768492544,,,,,,,,,,,
1903-07-01,2.2,22.5,9.5,18.4,2.3,2.7,7.3,11.8,15.7,10.5,0.18871449800749024,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.17567017873,2.7987,1782.9061509672115,0.1457000039866062,384.386105901754,0.0314000004501527,14665.1722533987,1.1986000111201505,31540.368711931395,2.577900038551771,-0.0328687515549197,0.340863765322785,0.0819636539446769,0.442299090437371,12.8785386008605,19.8123663676681,,,,,,,,,,,
1903-08-01,2.9,25.7,13.2,20.4,2.5,4.6,7.9,7.7,15.7,12.5,0.12044788728704779,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.17573432624,2.7987,1782.9061361177078,0.14570000298317,384.3861045563648,0.0314000003821708,14665.1719519513,1.1985999881653535,31540.367775782892,2.5778999658338053,-0.0674472557970534,0.321808391682423,0.0126399048201818,0.420377419433175,22.9484845167594,17.5011611698518,,,,,,,,,,,
1903-09-01,3.9,33.5,8.8,23.0,2.7,7.7,9.1,2.5,15.3,15.3,0.0924502929593699,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,-0.0127353910320662,0.30748781343863,0.0597866751715442,0.426753568875452,60.7850780962875,31.2124595482117,,,,,,,,,,,
1903-10-01,4.5,41.8,33.1,24.3,5.8,9.9,10.6,0.9,14.4,17.1,0.13052460538532965,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,0.145428632044458,0.316264304762619,0.106924567493724,0.44415806376122,82.3823386161562,35.6236011283627,,,,,,,,,,,
1903-11-01,5.1,43.5,67.5,26.1,8.2,12.1,12.2,0.2,14.0,19.1,0.2796111202141024,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,0.344630836713586,0.318379418471957,0.0441959368291851,0.447878587845941,105.685058700398,35.4081562612389,,,,,,,,,,,
1903-12-01,5.6,41.8,45.1,28.7,6.7,14.8,14.4,0.0,13.9,21.7,0.28908974801619813,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779,0.507497963990473,0.290977519664598,0.17753774498745,0.413237554638447,79.3772398917911,31.4770656585692,,,,,,,,,,,
1904-01-01,5.4,43.1,97.0,28.8,10.2,15.2,14.9,0.0,13.6,22.0,0.3532885937569086,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.204759591565,3.4909,2021.5192409522872,0.1643999955524138,423.95118890579096,0.0344999991596598,15848.812290142385,1.2889999530875422,35248.217442845744,2.8668998547729507,0.571206663502217,0.264335411008339,0.406825914464169,0.401554787677284,90.312809458087,41.3528624978481,,,,,,,,,,,
1904-02-01,4.8,44.2,78.6,28.4,8.8,15.3,15.7,0.0,13.0,21.8,0.46628849427421853,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.20077283447,3.4909,2021.519152455312,0.1643999887751934,423.95117404461183,0.0344999980180459,15848.811742479258,1.2889999115052888,35248.21577701323,2.8668997259216313,0.610516106919125,0.248712081614265,0.261735287990922,0.418707714684002,97.9178592743418,51.91533687697,,,,,,,,,,,
1904-03-01,4.0,42.1,73.0,26.6,8.4,13.5,14.5,0.0,13.1,20.0,0.47018628133704743,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.2076,3.4909,2021.5193,0.1644,423.9512,0.0345,15848.8129,1.289,35248.2193,2.8669,0.5354636580164909,0.2433856310751399,0.0335553457835263,0.4513716218173396,32.19087085579305,18.693192044205137,,,,,,,,,,,
1904-04-01,3.0,37.8,22.9,24.1,4.6,10.7,12.8,0.4,13.5,17.4,0.3514798050139276,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.2076,3.4909,2021.5193,0.1644,423.9512,0.0345,15848.8129,1.289,35248.2193,2.8669,0.2968184390883461,0.2776055236434805,0.0880656173072591,0.4327942002390711,10.09872146610423,10.917774103114606,,,,,,,,,,,
1904-05-01,2.3,28.7,13.4,21.2,3.1,6.5,9.7,4.4,14.7,13.8,0.18277067942351946,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.2076,3.4909,2021.5193,0.1644,423.9512,0.0345,15848.8129,1.289,35248.2193,2.8669,0.1016230192738577,0.301973975237699,0.0738689884519842,0.424356558220776,8.21584294982175,15.122193557772308,,,,,,,,,,,
1904-06-01,2.0,24.8,14.5,18.7,3.1,3.7,8.1,9.3,15.0,11.2,0.17756524766864482,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.20527481029,3.4909,2021.519253809413,0.1643999964396342,423.9511893326185,0.0344999991609984,15848.812501991448,1.288999969180925,35248.21812276161,2.866899907634412,-0.0128951758639485,0.3116350159668505,-0.0924065337996471,0.5057486776733943,7.568862295806207,12.43964502712454,,,,,,,,,,,
1904-07-01,2.2,22.5,9.8,19.1,2.1,3.4,7.8,10.3,15.7,11.2,0.15894055457077744,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.206332613874,3.4909,2021.519253255299,0.1643999961621134,423.95118773077576,0.034499999322106,15848.812531482872,1.2889999710874271,35248.21821381628,2.866899913839847,-0.0596950290028971,0.320661729526395,-0.0785907777157701,0.425790660316722,10.4965131667356,11.3725429042691,,,,,,,,,,,
1904-08-01,2.9,25.7,12.9,20.3,2.8,4.6,7.9,7.7,15.7,12.4,0.12089485771168608,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.2051406473,3.4909,2021.5192236920889,0.1643999940675206,423.9511842300083,0.0344999987563069,15848.812404143697,1.2889999616310663,35248.21780905722,2.866899882954242,-0.0755671309610833,0.3146812356906678,-0.0094916038398519,0.4099335594279695,14.60603656150658,11.753066869152716,,,,,,,,,,,
1904-09-01,3.8,33.5,18.7,22.5,3.9,7.2,8.9,2.9,15.3,14.8,0.12722973929396542,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.205222916215,3.4909,2021.5192033870044,0.1643999925145674,423.9511806929018,0.034499998489016,15848.812233422852,1.2889999481255916,35248.217306310195,2.8668998428665877,-0.0251167028906776,0.298003655301144,0.0969525618221505,0.425246908455673,33.0941465552823,16.8865957135707,,,,,,,,,,,
1904-10-01,4.6,41.8,37.5,24.7,6.8,10.3,10.8,0.7,14.4,17.5,0.1775264050279508,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.20435154226,3.4909,2021.519236014658,0.1643999951115306,423.9511851286781,0.0344999988387797,15848.812274277025,1.2889999514609547,35248.21743655842,2.8668998535087513,0.1548275207076131,0.2959135332117658,0.1134843845774869,0.4656544977058495,80.12049991135333,33.047731138167414,,,,,,,,,,,
1904-11-01,5.2,43.5,42.3,26.9,6.3,12.9,12.9,0.1,14.0,19.9,0.22116461789996367,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.20437297732,3.4909,2021.5192194853191,0.1643999938734135,423.9511857827461,0.0344999989142637,15848.812259517506,1.2889999510093617,35248.217349873776,2.866899848217771,0.375752740026662,0.27926762811088,0.167409665731855,0.44460248950364,100.584608127225,42.4399185635964,,,,,,,,,,,
1904-12-01,5.4,41.8,42.9,27.5,7.0,13.6,13.4,0.0,13.9,20.5,0.21834377901578456,76500.0,6.222,59841.0,4.8671,33615.0,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.19984915838,3.4909,2021.5191154034103,0.1643999861668686,423.9511666988094,0.0344999974870016,15848.811207467485,1.288999870867649,35248.21570710524,2.8668997215656367,0.5389515729083,0.276378811204163,0.14505381741296,0.417564592875174,78.170207847209,39.8909317895561,,,,,,,,,,,
1905-01-01,5.5,43.1,54.7,29.3,7.0,15.7,15.4,0.0,13.6,22.5,0.24293386511353088,83790.0,6.7846,58742.28,4.7565,52887.6,4.2824,40166.428,3.2523,9018.4324,0.7302,33460.0964,2.7093,36599.8709,2.9636,151587.0938,12.2743,26498.3117,2.1456,61028.5168,4.9416,36910.6114,2.9887,1966.3331,0.1592,394.3559,0.0319,16412.2856,1.3289,37186.9284,3.0111,0.528968182788115,0.291355097689086,0.108502945244352,0.366376804872105,60.4870996615858,28.54401492633,,,,,,,,,,,
1905-02-01,4.8,44.2,64.4,28.3,7.9,15.3,15.6,0.0,13.0,21.8,0.31724328944036473,83790.0,6.7846,58742.28,4.7565,52887.6,4.2824,40166.428,3.2523,9018.4324,0.7302,33460.0964,2.7093,36599.8709,2.9636,151587.0938,12.2743,26498.3117,2.1456,61028.5168,4.9416,36910.6114,2.9887,1966.3331,0.1592,394.3559,0.0319,16412.2856,1.3289,37186.9284,3.0111,0.471422433991109,0.280038529909994,0.303954256952102,0.377418086964145,74.2770560598597,28.2352361890025,,,,,,,,,,,
1905-03-01,4.0,42.1,60.6,26.5,8.2,13.3,14.3,0.0,13.1,19.9,0.38791782729805024,83790.0,6.7846,58742.28,4.7565,52887.6,4.2824,40166.428,3.2523,9018.4324,0.7302,33460.0964,2.7093,36599.8709,2.9636,151587.0938,12.2743,26498.3117,2.1456,61028.5168,4.9416,36910.61136379299,2.9887,1966.3331,0.1592,394.3559,0.0319,16412.2856,1.3289,37186.9284,3.0111,0.424673887151246,0.275617425677681,0.163512873874798,0.434113737475561,39.9547583836385,16.5057689632905,,,,,,,,,,,
1905-04-01,3.1,37.8,32.7,24.7,5.2,11.3,13.2,0.3,13.5,18.0,0.3489683484589811,83790.0,6.7846,58742.28,4.7565,52887.6,4.2824,40166.428,3.2523,9018.4324,0.7302,33460.0964,2.7093,36599.8709,2.9636,151587.0938,12.2743,26498.3117,2.1456,61028.5168,4.9416,36910.61120414592,2.9887,1966.3330502518395,0.1591999960097003,394.3558933475993,0.0318999994674294,16412.285541309295,1.328899995209954,37186.928202600815,3.011099983852659,0.233567846536873,0.291468434925455,0.105004746011986,0.445730294901597,12.3333732604984,7.9967406652817,,,,,,,,,,,
1905-05-01,2.3,28.7,30.5,20.9,4.2,6.1,9.5,4.9,14.7,13.5,0.3233151148390223,83790.0,6.7846,58742.28,4.7565,52887.6,4.2824,40166.428,3.2523,9018.4324,0.7302,33460.0964,2.7093,36599.8709,2.9636,151587.0938,12.2743,26498.3117,2.1456,61028.5168,4.9416,36910.6114,2.9887,1966.3331,0.1592,394.3559,0.0319,16412.2856,1.3289,37186.9284,3.0111,0.0521545340327875,0.297781273224346,-0.0473863144204981,0.451887434043778,10.7989644103584,14.878143417194,,,,,,,,,,,
1905-06-01,1.9,24.8,18.8,17.9,2.9,2.9,7.6,11.1,15.0,10.4,0.3144389449462339,83790.0,6.7846,58742.28,4.7565,52887.6,4.2824,40166.428,3.2523,9018.4324,0.7302,33460.0964,2.7093,36599.8709,2.9636,151587.0938,12.2743,26498.3117,2.1456,61028.5168,4.9416,36910.6114,2.9887,1966.3331,0.1592,394.3559,0.0319,16412.2856,1.3289,37186.9284,3.0111,-0.0368374616219459,0.307156548217941,0.0244444260447035,0.434740364575173,11.4573897436959,17.9669451641778,,,,,,,,,,,
